directive,content,robotstxt_last_modified,robotstxt_url,download_date,Modified_Date,Modified_Time,Download_Date,Download_Time,scheme,netloc,path
comment,This is the robots.txt for autotrader.co.uk,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,_                                ___________                     _,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,//////////  / \                              |____   ____|                   | |,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,///////////  / _ \       _    _    _        ____    | |   _       ____      ___| |   ____    _,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,////////////  / /_\ \     | |  | |  / \__    /    \   | |  | \__   /    \    /     |  /  _ \  | \___,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,/ _____ \    | |  | | |   _/   |  /\  |  | |  |  __/ |  /\  |  |  /\  | |  [_] \ |  __/,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,////////////  / /     \ \   | |  | |  | |     | |  | |  | |  | |    | |  | |  | |  | | |  ____| | |,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,///////////   / /       \ \  |  \/  |  | |__/\ |  \/  |  | |  | |    |  \/ _ \ |  \/  | |  \____ | |,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,//////////    /_/         \_\  \____/   \_____/  \____/   |_|  |_|     \___/ \/  \___/\/  \_____/ |_|,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,========================================================================================================,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,|         Auto Trader are hiring - Check out our jobs at https://careers.autotrader.co.uk/jobs         |,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
comment,========================================================================================================,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
User-agent,Mediapartners-Google,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
User-agent,Baiduspider,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
User-agent,CrystalSemanticsBot,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
User-agent,WeSEE:Ads/PageBot (http://www.wesee.com/bot/),2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
User-agent,WeSEE:Ads/PictureBot (http://www.wesee.com/bot/),2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
User-agent,*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/search-form,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/car-search,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/featuredlistingad/advert,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/new-cars/search,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/new-cars/*lead*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/redirect,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/cgi-bin,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/quicksearch/form,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/contextualUsedCars,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/reserve,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*write-a-review*/dealer-id*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/report-bad-advert,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/partners,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*advertorial*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/ect-preview,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/home-editorial,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/home-sell,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/new-cars/derivative,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/new-cars/generation,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/secure*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/secure/minimal/register,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/content/sponsored-content*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/dealer/contact/*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*write-an-open-review*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/van-search,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/bike-search,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/caravan-search,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*?olaId=,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*supplied-price-from,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*advertising-location,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*?region=,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*?sort=,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*?body-type=,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*?year-from=,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*?postcode=,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*?county=,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*?radius=,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,*/owner-reviews/third-party-reviews*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/configure*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/classified*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/secure/signin*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/secure/register*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/cars/leasing/search*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/cars/leasing/confirmation*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/cars/leasing/product*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/json/content-search/autocomplete,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/component/savesearch*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/car-details*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/bike-details*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/van-details*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/caravan-details*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/motorhome-details*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Disallow,/content/gamma/*,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
Sitemap,https://www.autotrader.co.uk/sitemap-index.xml,2021-11-23 18:15:28+00:00,https://www.autotrader.co.uk/robots.txt,2021-11-23 18:15:28.005721+00:00,11/23/2021,18:15:28,11/23/2021,15:28.0,https,www.autotrader.co.uk,/robots.txt
